year,day,hour,day_of_week,location,num_bikes
2014,8,4,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,1
2014,8,5,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,3
2014,8,6,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,14
2014,8,7,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,25
2014,8,8,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,8,9,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,33
2014,8,10,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,18
2014,8,11,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,25
2014,8,12,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,34
2014,8,13,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,8,14,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,31
2014,8,15,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,8,16,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,37
2014,8,17,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,47
2014,8,18,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,69
2014,8,19,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,65
2014,8,20,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,14
2014,8,21,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,19
2014,8,22,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,20
2014,8,23,1,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,9,0,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,4
2014,9,1,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,9,2,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,9,3,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,9,4,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,0
2014,9,5,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,2
2014,9,6,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,5
2014,9,7,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,15
2014,9,8,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,25
2014,9,9,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,19
2014,9,10,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,22
2014,9,11,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,17
2014,9,12,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,26
2014,9,13,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,13
2014,9,14,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,30
2014,9,15,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,68
2014,9,16,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,85
2014,9,17,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,158
2014,9,18,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,82
2014,9,19,2,26th_Ave_SW_Greenway_at_SW_Oregon_St,51
